SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
25,19.01.2021 16:55:34,25.28,25.3519581056466
SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
25,19.01.2021 16:55:38,25.28,25.3519581056466
SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
25,19.01.2021 16:55:38,25.28,25.288087431694
SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
25,19.01.2021 16:55:42,25.28,25.288087431694
SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
25,19.01.2021 16:55:42,25.28,25.3519581056466
SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
25,19.01.2021 16:55:45,25.28,25.3519581056466
SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
25,19.01.2021 16:55:45,25.28,25.3519581056466
